,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,hour,minute,time_float,month,day,loc_missing,LAT_std,LON_std,vDescent,month_seq,report_delay,weapon_cd,severity,area_score,complexity
0,211507896,2021-04-11,2020-11-07,0845,N Hollywood,N Hollywood,1502,2,354,THEFT OF IDENTITY,0377,31.0,M,H,501.0,SINGLE FAMILY DWELLING,0.0,n/a,IC,Invest Cont,354.0,,,,7800    BEEMAN                       AV,,34.2124,-118.4092,8,45,8.75,11,7,0,0.132979455642122,-0.0570237614865138,H,11,155,0.0,1,31,1
1,201516622,2020-10-21,2020-10-18,1845,N Hollywood,N Hollywood,1521,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 2004 1822 1414 0305 0319 0400,32.0,M,H,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,ATOLL                        AV,N  GAULT,34.1993,-118.4203,18,45,18.75,10,18,0,0.12484640893603034,-0.05901215858417463,H,10,3,200.0,3,16,1
2,240913563,2024-12-10,2020-10-30,1240,Van Nuys,Van Nuys,933,2,354,THEFT OF IDENTITY,0377,30.0,M,W,501.0,SINGLE FAMILY DWELLING,0.0,n/a,IC,Invest Cont,354.0,,,,14600    SYLVAN                       ST,,34.1847,-118.4509,12,40,12.666666666666666,10,30,0,0.11578209733992828,-0.06449368571826836,W,10,1502,0.0,1,27,1
3,210704711,2020-12-24,2020-12-24,1310,Wilshire,Wilshire,782,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,47.0,F,A,101.0,STREET,0.0,n/a,IC,Invest Cont,331.0,,,,6000    COMEY                        AV,,34.0339,-118.3747,13,10,13.166666666666666,12,24,0,0.022158933730885795,-0.050843608345136036,A,12,0,0.0,2,28,1
4,201418201,2020-10-03,2020-09-29,1830,Pacific,Pacific,1454,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 0344 1606 2032,63.0,M,H,103.0,ALLEY,0.0,n/a,IC,Invest Cont,420.0,,,,4700    LA VILLA MARINA,,33.9813,-118.435,18,30,18.5,9,29,0,-0.01049742174548184,-0.061645441227023846,H,9,4,0.0,2,24,1
5,240412063,2024-12-11,2020-11-11,1210,Hollenbeck,Hollenbeck,429,2,354,THEFT OF IDENTITY,0100,35.0,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,n/a,IC,Invest Cont,354.0,,,,5300    CRONUS                       ST,,34.083,-118.1678,12,10,12.166666666666666,11,11,0,0.05264233779722322,-0.013780602984228722,B,11,1491,0.0,1,12,1
6,240317069,2024-12-16,2020-04-16,1350,Southwest,Southwest,396,2,354,THEFT OF IDENTITY,0100 0928 1822,21.0,F,B,501.0,SINGLE FAMILY DWELLING,0.0,n/a,IC,Invest Cont,354.0,,,,900 W  40TH                         PL,,34.01,-118.29,13,50,13.833333333333334,4,16,0,0.007320779816717334,-0.035670884545867275,B,4,1705,0.0,1,25,1
7,201115217,2020-10-29,2020-07-07,1400,Northeast,Northeast,1133,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0448 0304 1822 0500 0522,14.0,F,H,121.0,YARD (RESIDENTIAL/BUSINESS),500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,812.0,860.0,,,3000    ACRESITE                     ST,,34.1107,-118.2589,14,0,14.0,7,7,0,0.06983969609941691,-0.03009978997494154,H,7,114,500.0,2,35,2
8,241708596,2024-04-20,2020-03-02,1200,Devonshire,Devonshire,1729,2,354,THEFT OF IDENTITY,1501,43.0,M,W,501.0,SINGLE FAMILY DWELLING,0.0,n/a,IC,Invest Cont,354.0,,,,17700    SIMONDS                      ST,,34.2763,-118.521,12,0,12.0,3,2,0,0.17265133995656257,-0.0770510403620548,W,3,1510,0.0,1,21,1
9,242113813,2024-12-18,2020-09-01,0900,Topanga,Topanga,2196,2,354,THEFT OF IDENTITY,0930,57.0,M,W,501.0,SINGLE FAMILY DWELLING,0.0,n/a,IC,Invest Cont,354.0,,,,20900    MARMORA                      ST,,34.1493,-118.5886,9,0,9.0,9,1,0,0.09380424593568137,-0.08916055782168378,W,9,1569,0.0,1,27,1
