,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,hour,minute,time_float,month,day,year,loc_missing,LAT_std,LON_std,vDescent,month_seq,week_seq,report_delay,weapon_cd,severity,area_score,complexity,MO_Code,MO_Desc
0,211507896,2021-04-11,2020-11-07,0845,N Hollywood,N Hollywood,1502,2,354,THEFT OF IDENTITY,0377,31.0,M,H,501.0,SINGLE FAMILY DWELLING,0.0,n/a,IC,Invest Cont,354.0,,,,7800    BEEMAN                       AV,,34.2124,-118.4092,8,45,8.75,11,7,2020,0,0.13297945564211314,-0.05702376148651888,H,11,45,155,0.0,1,23,1,0377,Takes vict's identification/driver license
1,201516622,2020-10-21,2020-10-18,1845,N Hollywood,N Hollywood,1521,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 2004 1822 1414 0305 0319 0400,32.0,M,H,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,ATOLL                        AV,N  GAULT,34.1993,-118.4203,18,45,18.75,10,18,2020,0,0.1248464089360215,-0.05901215858417971,H,10,42,3,200.0,3,13,1,0416,Hit-Hit w/ weapon
2,201516622,2020-10-21,2020-10-18,1845,N Hollywood,N Hollywood,1521,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 2004 1822 1414 0305 0319 0400,32.0,M,H,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,ATOLL                        AV,N  GAULT,34.1993,-118.4203,18,45,18.75,10,18,2020,0,0.1248464089360215,-0.05901215858417971,H,10,42,3,200.0,3,13,1,0334,Brandishes weapon
3,201516622,2020-10-21,2020-10-18,1845,N Hollywood,N Hollywood,1521,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 2004 1822 1414 0305 0319 0400,32.0,M,H,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,ATOLL                        AV,N  GAULT,34.1993,-118.4203,18,45,18.75,10,18,2020,0,0.1248464089360215,-0.05901215858417971,H,10,42,3,200.0,3,13,1,2004,Suspect is homeless/transient
4,201516622,2020-10-21,2020-10-18,1845,N Hollywood,N Hollywood,1521,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 2004 1822 1414 0305 0319 0400,32.0,M,H,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,ATOLL                        AV,N  GAULT,34.1993,-118.4203,18,45,18.75,10,18,2020,0,0.1248464089360215,-0.05901215858417971,H,10,42,3,200.0,3,13,1,1822,Stranger
5,201516622,2020-10-21,2020-10-18,1845,N Hollywood,N Hollywood,1521,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 2004 1822 1414 0305 0319 0400,32.0,M,H,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,ATOLL                        AV,N  GAULT,34.1993,-118.4203,18,45,18.75,10,18,2020,0,0.1248464089360215,-0.05901215858417971,H,10,42,3,200.0,3,13,1,1414,Photographs
6,201516622,2020-10-21,2020-10-18,1845,N Hollywood,N Hollywood,1521,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 2004 1822 1414 0305 0319 0400,32.0,M,H,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,ATOLL                        AV,N  GAULT,34.1993,-118.4203,18,45,18.75,10,18,2020,0,0.1248464089360215,-0.05901215858417971,H,10,42,3,200.0,3,13,1,0305,Attacks from rear
7,201516622,2020-10-21,2020-10-18,1845,N Hollywood,N Hollywood,1521,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 2004 1822 1414 0305 0319 0400,32.0,M,H,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,ATOLL                        AV,N  GAULT,34.1993,-118.4203,18,45,18.75,10,18,2020,0,0.1248464089360215,-0.05901215858417971,H,10,42,3,200.0,3,13,1,0319,Profanity Used
8,201516622,2020-10-21,2020-10-18,1845,N Hollywood,N Hollywood,1521,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 2004 1822 1414 0305 0319 0400,32.0,M,H,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,ATOLL                        AV,N  GAULT,34.1993,-118.4203,18,45,18.75,10,18,2020,0,0.1248464089360215,-0.05901215858417971,H,10,42,3,200.0,3,13,1,0400,Force used
9,240913563,2024-12-10,2020-10-30,1240,Van Nuys,Van Nuys,933,2,354,THEFT OF IDENTITY,0377,30.0,M,W,501.0,SINGLE FAMILY DWELLING,0.0,n/a,IC,Invest Cont,354.0,,,,14600    SYLVAN                       ST,,34.1847,-118.4509,12,40,12.666666666666666,10,30,2020,0,0.11578209733991944,-0.06449368571827344,W,10,44,1502,0.0,1,22,1,0377,Takes vict's identification/driver license
